	xKooFuss_d	yKooFuss_d	Formcode	Ra_Di_cm	Breit_cm	Objekt	Kopf_LV95_	Kopf_LV951	Fuss_LV95_	Fuss_LV951	AnzJR_Best	Mark_Best	WK_Best	Splint_Bes	Art_Best	DcEign	DmRek	mindDM	LabNr	Dat	Gte	DG	x	y
13764.00000000000	505.59	143.64	1.00	7.50	6.50	P			2683698.32	1246676.29	46.00		5	1.00	1	3	15.00						2683698.32	1246676.29
28137.00000000000	476.64	129.62	1.00	7.00	8.00	P			2683678.75	1246650.76	25.00		3	1.00	1	4	16.00						2683678.75	1246650.76
1791.00000000000	488.77	160.62	1.00	9.00	6.00	P			2683675.67	1246683.91	0.00			1.00	1	1	21.00		655101	0	u		2683675.67	1246683.91
15623.00000000000	500.66	130.53	1.00	9.00	8.00	P			2683699.80	1246662.37	0.00	m	3	1.00	1	1	16.00		656748	-2729	a	52	2683699.80	1246662.37
5084.00000000000	494.88	138.10	1.00	8.00	8.00	P			2683691.23	1246666.53	25.00		2?	1.00	1	4	16.00						2683691.23	1246666.53
327.00000000000	501.16	156.78	1.00	10.50	9.00	P	2683688.6234	1246686.1801	2683688.46	1246686.04	38.00		5	1.00	1	3	0.00		656178	-3234	b	57	2683688.46	1246686.04
20573.00000000000	512.23	150.75	1.00	7.00	7.00	P			2683701.06	1246685.63	27.00		4	0.00	5	4	0.00	12					2683701.06	1246685.62
18068.00000000000	474.67	161.18	1.00	7.50	7.00	P			2683662.81	1246678.07	0.00		3	1.00	1	1	16.00		656708	-3175	a	20	2683662.81	1246678.07
20763.00000000000	509.57	125.83	1.00	8.00	4.00	P			2683709.87	1246662.17	0.00		4	1.00	1	1	16.00		656418	-2753	a	51	2683709.87	1246662.17
8181.00000000000	501.20	177.97	1.00	6.00	5.00	P	2683678.9765	1246704.9914	2683678.98	1246704.99	19.00		4	0.00	5	4	0.00	12					2683678.98	1246704.99
20825.00000000000	478.52	159.78	1.00	15.00	6.50	P			2683666.88	1246678.55	0.00		3	1.00	1	1	29.00		656018	-3175	a	10	2683666.88	1246678.55
14663.00000000000	483.42	170.56	1.00	6.00	7.50	P			2683666.42	1246690.38	0.00		4	1.00	1	1	0.00						2683666.42	1246690.39
3889.00000000000	491.66	157.94	1.00	15.50	9.00	P	2683679.4138	1246682.7032	2683679.45	1246682.81	0.00	m		0.00	1	2	0.00	36	657681	-2893	a	4	2683679.45	1246682.80
5713.00000000000	498.70	152.53	1.00	12.00	9.00	p			2683688.17	1246681.14	0.00	m	5	1.00	1	1	20.00		656570	-3234	b	28	2683688.17	1246681.14
6397.00000000000	506.81	177.30	1.00	9.50	6.50	P			2683684.30	1246706.91	23.00			0.00	5	4	0.00	19					2683684.30	1246706.91
12046.00000000000	509.54	152.95	1.00	8.00	4.50	P			2683697.66	1246686.38	13.00		5	0.00	5	4	0.00	16					2683697.66	1246686.38
23065.00000000000	490.37	131.05	1.00	7.00	7.00	P			2683690.37	1246658.21	36.00		4	0.00	7	3	0.00	16					2683690.37	1246658.21
17539.00000000000	502.84	128.17	1.00	7.50	10.00	P			2683702.81	1246661.23	0.00		4	1.00	1	1	15.00		656757	-2753	a	51	2683702.81	1246661.23
25998.00000000000	482.32	133.94	1.00	10.00	6.50	P			2683681.88	1246657.18	0.00		4	1.00	1	1	21.00		656422	-2753	a	51	2683681.88	1246657.18
14017.00000000000	514.62	102.64	1.00	8.50	8.00	P			2683724.81	1246643.72	19.00	mn	5	0.00	5	4	16.00						2683724.81	1246643.72
11151.00000000000	493.62	166.50	1.00	13.00	10.50	P			2683677.36	1246691.34	0.00			0.00	1	2	0.00	40	655240	0	u	7	2683677.36	1246691.34
9763.00000000000	498.04	135.30	1.00	8.00	9.00	P			2683695.32	1246665.45	25.00		4	0.00	4	4	0.00	13					2683695.32	1246665.45
18998.00000000000	511.01	118.45	1.00	13.50	6.50	P			2683714.48	1246656.22	80.00	mn	5	1.00	1	1	26.00		657148	-2753	a	51	2683714.48	1246656.22
